countyFIPS,State,2020_total,2021_total,2022_total
19093,IA,854,12982,17653
19095,IA,1100,9429,17759
19097,IA,1127,15289,25231
19099,IA,6888,26856,40695
19101,IA,513,12993,19047
19103,IA,5543,31065,55594
19105,IA,1504,20879,27151
19107,IA,751,11716,17896
19109,IA,700,23457,32508
19111,IA,1777,24056,51163
19113,IA,28331,127010,215103
19115,IA,3443,17231,22716
19117,IA,1066,7982,11609
19119,IA,1131,14695,18387
19121,IA,698,7056,14396
19123,IA,4574,18830,32104
19125,IA,1948,28635,45250
19127,IA,7119,28458,41536
19129,IA,589,8548,15494
19131,IA,684,15198,17888
19133,IA,503,11324,17813
19135,IA,2104,11380,18049
19137,IA,1221,13769,19952
19139,IA,12463,37396,48068
19141,IA,2815,22183,26054
19143,IA,157,5773,7909
19145,IA,358,8427,17211
19147,IA,218,8727,13910
19149,IA,4463,29531,37333
19151,IA,485,7674,9848
19153,IA,57006,234322,402347
19155,IA,8398,63008,115473
19157,IA,2503,12815,22337
19159,IA,385,8494,12752
19161,IA,582,7465,13111
19163,IA,8898,88885,145086
19165,IA,814,13411,18613
19167,IA,2306,26225,32056
19169,IA,3156,17504,32452
19171,IA,8037,25823,33650
19173,IA,347,4470,8065
19175,IA,829,12429,18676
19177,IA,506,6792,9703
19179,IA,11060,45037,74120
19181,IA,1561,31443,49731
19183,IA,2972,18565,28812
19185,IA,887,8375,11832
19187,IA,3516,35753,60266
19189,IA,2357,11668,16793
19191,IA,1242,12445,18657
19193,IA,17068,83334,122624
19195,IA,52,2760,5757
19197,IA,584,14071,23634
0,KS,10593,35545,199570
20001,KS,100,6811,18182
20003,KS,0,6195,10240
20005,KS,711,6402,12237
20007,KS,78,2174,2902
20009,KS,1491,17824,33769
20011,KS,517,10412,18436
20013,KS,889,13681,16778
20015,KS,912,34901,65120
20017,KS,255,1135,2547
20019,KS,77,2533,6151
20021,KS,1098,20460,30509
20023,KS,637,4806,5110
20025,KS,388,2465,2832
20027,KS,917,10509,12569
20029,KS,143,8200,13067
20031,KS,2205,8200,14935
20033,KS,89,3697,5658
20035,KS,1187,36526,54750
20037,KS,1783,30209,45630
20039,KS,118,4259,7099
20041,KS,734,17393,27691
20043,KS,153,8217,12241
20045,KS,2497,30911,48738
20047,KS,0,3870,4745
20049,KS,0,1678,3450
20051,KS,2108,25814,29372
20053,KS,220,8572,11560
20055,KS,3632,26759,40242
20057,KS,2320,26382,40549
20059,KS,1082,16143,28879
20061,KS,671,15761,26812
20063,KS,1344,7612,8393
